,question,num_texte
454,Quelle page d’un avis d’imposition contient généralement le calendrier des prélèvements mensuels ?,40
1397,Pour quels types de litiges pouvez-vous saisir le conciliateur fiscal départemental ?,110
920,Que permet le crédit d'impôt déductible en cas de plus-value réalisée à l'étranger non exonérée en France ?,81
282,Quelle formule permet de calculer la décote applicable aux patrimoines compris entre 1 300 000 et 1 400 000 euros ?,27
990,Quel abattement est applicable pour une donation en faveur d'un neveu ou d'une nièce ?,84
519,Quel service sera chargé d’émettre les impôts locaux (taxe d’habitation et taxe foncière) l’année suivant le déménagement (N+1) ?,48
777,Quelle est la durée minimale de vacance exigée pour qu'un logement soit soumis à la THLV ?,71
1148,À quelle date au plus tard la SCI doit-elle déposer sa déclaration annuelle pour les loyers perçus en N-1 ?,92
610,"Si la personne décédée était mariée ou pacsée, quelle disposition particulière s’applique pour l’année du décès?",58
947,À partir de quelle valeur doit être utilisée l’option du formulaire 2734 pour la révélation d’un don manuel ?,82
1158,Pendant combien d’années la location doit-elle se poursuivre pour que la déduction du déficit foncier soit définitivement acquise ?,92
927,L'exonération particulière pour une résidence en France ne s'applique pas dans quel cas ?,81
303,Quels travailleurs sont formellement exclus du dispositif de déclaration fiscale et sociale unifiée ?,29
276,"En cas d’imposition commune à l’IFI pour un couple marié vivant sous le même toit, combien de résidences principales peuvent bénéficier de l’abattement de 30 % ?",26
1335,"Pour les locaux situés dans le Var, les Bouches-du-Rhône et les Alpes-Maritimes, à quel service devez-vous déposer la déclaration TSBCS en l'absence de formulaire pré-rempli ?",103
918,"En cas de réalisation d'une plus-value hors de France non exonérée d'impôt en application d'une convention fiscale, quelle déclaration doit être déposée pour une cession d'un immeuble ?",81
968,"Quel est le montant maximal exonéré pour les donations d'immeubles neufs consenties au profit d'un descendant, ascendant en ligne directe, conjoint ou partenaire PACS ?",83
742,Quel est l'objectif principal des abattements appliqués dans le calcul des taxes foncières ?,69
952,Quels types de biens sont exclus du don manuel ?,82
349,"Pourquoi un propriétaire bailleur pourrait-il choisir de réaliser un versement libre de prélèvement à la source le même mois où il perçoit un nouveau loyer, avant la mise à jour effective de l’acompte ?",34
1137,Quel traitement fiscal s'applique si l'immeuble procure des recettes et n'est pas occupé par son propriétaire ?,91
662,Quel est l'effet du prélèvement à la source instauré depuis le 1er janvier 2019 sur les pensions de retraite ?,63
1230,Quel outil en ligne est recommandé pour connaître les régimes d'imposition à la TVA pour les locaux professionnels aménagés ?,95
884,Dans quelles conditions un abattement exceptionnel de 70 % est-il applicable pour la détermination de l'assiette imposable des plus-values ?,78
499,"Parmi les motifs de contestation énoncés, lequel vise un dépassement ou un non-paiement de stationnement initial, sans majoration ?",45
1349,Quels moyens de paiement sont acceptés pour le règlement de la TSBCS ?,104
371,Comment un contribuable peut-il adapter le montant de ses prélèvements mensuels s’il anticipe une variation de son impôt ?,36
653,Quelle est la modalité d'imposition applicable en cas de départ volontaire à la retraite en dehors d'un plan social ?,62
787,"Pour quel type de contrat l'enregistrement n'est pas obligatoire, tout en imposant une déclaration d'informations à l'administration fiscale ?",72
1035,Quels produits caractérisent les placements à revenu variable ?,86
231,"Dans le cadre du dispositif « Scellier », quelle est la durée de location couverte par la réduction d’impôt initiale avant toute prorogation ?",22
1364,Comment pouvez-vous signaler une erreur à l'administration une fois que l'impôt a été établi ?,106
1077,Quel est le but fondamental d'un contrat d'assurance-vie ?,88
501,Quel type d’action spécifique du Trésor Public empêche toute modification administrative sur un véhicule lié à une infraction impayée ?,46
239,"Si un contribuable fait appel à un salarié pour des petits travaux de bricolage à domicile, quel est le montant limite annuel de dépenses ouvrant droit à l'avantage fiscal pour cette seule prestation, et sous quelle condition de durée d'intervention ?",23
490,"Selon la liste de modes de règlement indiqués, lequel de ces supports physiques est reconnu pour le paiement d’une amende ?",44
1297,Quel est l'objectif du dispositif de lissage dans la RVLLP ?,100
861,Comment se décompose le droit de mutation à titre onéreux lors de l'acquisition d'un bien immobilier ancien ?,77
910,Quelle est la base d'imposition pour la taxe nationale sur les terrains rendus constructibles ?,80
1379,Que se passe-t-il si votre réclamation est rejetée par l'administration ?,107
1088,Quel taux d'imposition s'applique aux gains nets lors d'un retrait effectué avant 5 ans dans un PEA ?,88
1269,Par quel moyen doit être effectuée la déclaration foncière pour les travaux à déclarer ?,98
1120,Sur la base de quel indicateur les ressources du locataire sont-elles appréciées pour le conventionnement Anah ?,90
936,Quel article du Code général des impôts encadre le don manuel ?,82
376,"Si aucun avis contraire n’est émis, que devient un contrat de prélèvement à l’échéance pour les impôts locaux d’une année sur l’autre ?",37
930,Quel est le taux global des prélèvements sociaux applicables sur les plus-values réalisées par des personnes physiques non-résidentes après abattement ?,81
790,Comment se distingue l'enregistrement obligatoire d'une cession de fonds de commerce de l'enregistrement facultatif d'une cession de mobilier ?,72
444,Comment s’appelle la section accessible depuis « Paiements » et « Impôts » où l’on peut voir le solde restant pour la prochaine mensualité ?,40
173,Quelle est la portée de la notion de « bénéfice moyen » applicable aux produits de droits d’auteur ?,16
1284,Quel outil en ligne permet d'estimer le montant des aides pour rénover son logement ?,99
603,Dans quel cas une déclaration d’IFI doit-elle être souscrite pour un enfant décédé majeur non rattaché ?,57
1374,Quel moyen en ligne est recommandé pour déposer une réclamation concernant le calcul de votre impôt ?,107
228,"Pour les logements rénovés ou transformés en habitation afin de bénéficier du dispositif « Denormandie », entre quelles dates l’investissement doit-il être réalisé pour ouvrir droit à la réduction d’impôt ?",22
666,Quel est le montant et le plafonnement de l'abattement forfaitaire appliqué aux pensions de retraite pour l'année 2023 ?,63
1123,Quel est le taux de réduction d'impôt applicable dans le dispositif Loc'Avantages pour un logement conventionné en secteur local sans intermédiation locative ?,90
1151,Dans quelles conditions la SCI doit-elle utiliser le formulaire n°2072-C ?,92
1277,"Qu'implique l'exonération temporaire de taxe foncière bâtie pour les constructions neuves, reconstructions et additions de construction ?",98
1132,Quel mode de détention est requis pour les immeubles acquis à partir du 1er janvier 2009 afin de bénéficier du régime dérogatoire ?,91
701,Quel est le traitement fiscal pour un non-résident français concernant la déclaration de revenus ?,66
254,"Pour bénéficier du crédit d’impôt relatif aux travaux de prévention des risques technologiques dans un logement destiné à la location, quelle est la durée minimale exigée de mise en location ?",24
86,"Lequel des revenus suivants est considéré comme revenu exceptionnel par sa nature sans condition de montant, permettant ainsi de bénéficier du système du quotient ?",8
270,À quelle date la valeur vénale des biens immobiliers doit-elle être appréciée afin de déterminer l’assiette de l’IFI ?,26
1104,"Quel taux d’imposition s’applique par défaut à la plus-value de cession des actions gratuites, sauf option pour le barème progressif ?",89
670,"Comment est calculé le taux de 7,5% appliqué sur les prestations de retraite versées en capital en cas d'option pour l'imposition forfaitaire ?",63
1165,"Que doit faire un associé si, pour l’acquisition de ses parts ou apports à la SCI, il a contracté des emprunts personnels ?",92
839,Quels éléments doivent être déclarés simultanément lors de la déclaration foncière en ligne pour une construction nouvelle ?,75
442,Comment un contribuable peut-il s’assurer d’avoir la version la plus récente de son échéancier de mensualisation ?,40
27,Quel est le principal avantage en matière de délai pour un contribuable qui décide d’effectuer sa déclaration de revenus en ligne plutôt que sous format papier ?,2
298,Quelles modalités de paiement alternatives sont possibles pour un IFI d’un montant inférieur ou égal à 300 € ?,28
435,"Si une personne souhaite connaître les échéances fiscales à venir pour l’année, quelle rubrique en ligne peut-elle consulter en tant que non-mensualisé ?",40
105,Quels justificatifs peut-on vous demander pour prouver l’effectivité de vos frais de trajet domicile-travail ?,10
601,Un enfant majeur rattaché décède durant l’année. Comment doit-on l’inclure dans le foyer fiscal cette même année ?,57
153,"À quel organisme le contribuable doit-il se référer pour obtenir un calcul détaillé de ses plus ou moins-values mobilières, si sa banque ne l’a pas fourni ?",14
828,Quel est le taux global maximal des droits de mutation à titre onéreux lors de l'achat d'un terrain à bâtir auprès d'un particulier ?,75
1405,Quel contenu devez-vous inclure dans votre demande auprès du conciliateur fiscal départemental ?,110
374,Combien de fois la taxe foncière est-elle prélevée au cours du dernier trimestre pour une personne ayant opté pour ce dispositif ?,37
1192,Quel est le seuil de recettes maximum pour bénéficier du régime micro des meublés de tourisme classés ou des chambres d’hôtes ?,94
116,Dans quel cas un salarié est-il autorisé à déduire les frais supplémentaires de repas au titre de ses frais réels ?,11
1274,"Quelle conséquence a un dépôt de déclaration en N+1, dépassant l'année d'achèvement des travaux ?",98
1187,Quelle démarche est obligatoire pour qu'un bien soit qualifié de « chambre d'hôte » ?,93
1424,Que comprend une décision d'octroi de délai de paiement ?,112
183,Que se passe-t-il si une pension alimentaire a déjà été déduite pour la détermination d’un bénéfice agricole ?,17
804,Combien d'originaux doivent être rédigés pour un acte sous seing privé impliquant plusieurs parties ?,73
1005,Quel avantage fiscal est accordé aux donataires mutilés de guerre présentant une invalidité d'au moins 50 % ?,84
1309,Quelles sont les situations les plus courantes concernant la présence de locaux professionnels sur l'avis de taxe foncière ?,101
720,Quel document n'est PAS mentionné comme justificatif pour établir le montant des revenus de source étrangère ?,67
422,"Dans l’espace particulier, après avoir cliqué sur l’onglet « Paiements » et sur « Impôts », où peut-on analyser le détail de son compte fiscal ?",40
647,Les indemnités de chômage partiel incluent une allocation complémentaire versée en vertu de quel article du Code du Travail ?,61
513,"Lorsque la demande de délai de paiement présente une complexité justifiée, quelle est la durée maximale de traitement que l’administration peut se fixer en avertissant le contribuable ?",47
261,"Quel est le calendrier de dépôt de la déclaration IFI, en règle générale ?",25
1209,Que doit-on faire pour revenir du régime réel au régime micro en location meublée ?,94
633,"Quelle est la limite d’exonération applicable à un dirigeant révoqué de ses fonctions en 2023, si la cessation est considérée comme forcée ?",60
96,"Quel est le plafond maximum global de l’abattement de 10 % applicable aux pensions (hors versements en capital taxés à 7,5 %) pour un foyer fiscal ?",9
18,"Si un couple se marie le 1er juin de l’année N, quelle est la règle normale pour leurs déclarations de revenus au titre de l’année N ?",1
515,"Au-delà des pièces justificatives, quel critère est également pris en compte pour accorder ou refuser le délai de paiement ?",47
40,À quel âge un contribuable célibataire titulaire de la carte du combattant peut-il cocher la case W pour bénéficier d’une demi-part supplémentaire ?,3
538,"Pour la taxe foncière, dans quel cas un seul avis d’impôt sera-t-il émis au nom du couple après leur mariage ou pacs ?",50
8,Que permet d'obtenir l'avis d'impôt sur le revenu qui vous est adressé par l'administration fiscale ?,0
758,Que se passe-t-il si la déclaration du changement est déposée hors délai pour l’exonération temporaire ?,70
136,Dans quelle catégorie d’impôt sur le revenu sont imposés les revenus tirés d’une location meublée (louée directement ou sous-louée) ?,13
602,"Si un enfant majeur non rattaché et célibataire décède sans conjoint ni personne à charge, que doivent faire les parents à propos de sa déclaration de revenus ?",57
351,Comment différencier un complément de retenue à la source d’un versement libre de prélèvement à la source ?,34
517,À quel moment un contribuable doit-il effectuer la déclaration de changement d'adresse après avoir déménagé durant l’année N ?,48
1360,Quel est le créneau de temps pendant lequel il est possible de modifier votre déclaration de revenus en ligne en cas d'erreur ?,106
1179,Quelles conditions distinguent un loueur en meublé professionnel d'un loueur en meublé non professionnel (LMNP) ?,93
1251,Quel taux de TVA est applicable aux travaux d’amélioration de la qualité énergétique ainsi qu'aux travaux induits qui leur sont liés ?,97
1161,Quelle condition relative à la conservation des parts doit être respectée pour que le bénéfice de la déduction de déficit foncier ne soit pas remis en cause ?,92
744,Combien d'abattements facultatifs existent en matière de taxe d'habitation ?,69
1371,Dans quel cas ne devez-vous pas déposer une réclamation fiscale ?,107
326,Comment est réglée une somme d’impôt restante égale ou inférieure à 300 euros ?,32
188,Quelle est la limite de déduction pour une pension alimentaire versée à un enfant majeur au titre des revenus de l’année 2023 ?,18
966,Quelle est la période d'obtention du permis de construire pour qu'une donation d'un immeuble neuf à usage d'habitation puisse bénéficier de l'exonération temporaire ?,83
1210,Quelles charges sont déductibles sous le régime réel des locations meublées ?,94
562,Comment procéder si aucun signalement de divorce ou de séparation n’a été effectué sur le service «Gérer mon prélèvement à la source» avant la déclaration en ligne des revenus ?,53
869,Quelle information complémentaire est recommandée de consulter si l'acheteur envisage de rénover le bien ancien acquis ?,77
316,À quel portail en ligne un exploitant agricole doit-il transmettre sa déclaration unifiée pour l’année 2023 ?,31
978,Quel taux d'exonération s'applique à la première transmission à titre gratuit d'une construction nouvelle acquise entre le 1er juin 1993 et le 31 décembre 1994 ?,83
1190,"Dans quel délai doit être déposée la déclaration n°1447 M-SD en cas de modification (surface, demande d'exonération ou autre) ?",93
84,"Dans quelles limites la prime de partage de la valeur (PPV), versée entre le 1er juillet et le 31 décembre 2023, peut-elle être exonérée pour un salarié dont la rémunération annuelle est inférieure à trois fois le SMIC ?",7
475,À partir de quand cesse le prélèvement mensuel lorsque la déclaration de non-imposition est réalisée au 10 mai ?,42
373,Quel avantage de trésorerie est procuré par le prélèvement à l’échéance pour un impôt local ?,37
1223,Que doivent faire les loueurs en meublé assujettis à la CVAE et dont le chiffre d'affaires est supérieur à 500 000 € HT ?,95
167,Dans quelles conditions un auteur peut-il déduire ses frais professionnels réels en traitant ses droits d’auteur comme des traitements et salaires ?,16
588,"Si un ex-conjoint perçoit une prestation compensatoire qualifiée de pension alimentaire, comment est-elle imposée ?",55
64,Quelles sont les conséquences fiscales pour le parent bénéficiant du rattachement d’un enfant majeur ?,5
1033,Quel élément ne fait pas partie des revenus mobiliers imposables ?,86
1248,Que précise le BOI-IS-CHAMP-10-30 n°320 concernant les SCI ?,96
541,"Jusqu’à quel âge un enfant est-il considéré comme mineur pour être rattaché au foyer fiscal, au titre de l’impôt sur le revenu de l’année 2023 déclarée en 2024 ?",51
171,"Comment se traduit l’application du prélèvement à la source pour les droits d’auteur, quel que soit le régime d’imposition ?",16
1310,Quelle mention en page 1 de votre avis de taxe foncière confirme que le local professionnel est soumis à la révision des valeurs locatives ?,101
452,"Sur l’avis d’impôt, quelle section permet de vérifier si un solde doit encore être réglé malgré la mensualisation ?",40
1149,Par quel moyen la SCI doit-elle obligatoirement déposer sa déclaration ?,92
186,Quel principe doit guider le montant de la pension alimentaire fixée pour respecter les conditions de déduction fiscale ?,18
131,À quel moment doit-on souscrire la déclaration n° 2044 spéciale en lieu et place de la déclaration n° 2044 classique ?,12
147,"Selon les modalités d’imposition par défaut, à quel taux d’impôt sur le revenu sont soumises les plus-values de cession de valeurs mobilières ?",14
811,"Quel taux d'enregistrement est fixé pour les cessions d'actions, de parts de fondateurs ou de parts de bénéficiaires de sociétés par action hors personnes morales à prépondérance immobilière, ainsi que pour les parts souscrites par les clients des établissements mutualistes ou coopératifs ?",74
1362,Quel service est destiné à la correction d'une erreur constatée sur votre avis d'imposition si vous avez déclaré en ligne ?,106
1103,"Quel taux forfaitaire est applicable au gain d’acquisition des actions gratuites attribuées avant le 28/09/2012, en option pour le régime des traitements et salaires ?",89
637,"Où reporter les sommes imposables liées à une indemnité de rupture, lorsqu’on n’opte pas pour le système du quotient ?",60
1073,Quelle formule est utilisée pour calculer la plus ou moins-value brute lors de la cession d'actifs numériques ?,87
497,Quelle dénomination est utilisée pour un dépassement ou un non-paiement de stationnement lorsqu’il est augmenté pour cause de non-règlement initial ?,45
817,Quel taux de taxe départementale est appliqué pour une cession de fonds de commerce lorsque le prix se situe entre 107 000 € et 200 000 € ?,74
281,Quel est le taux d’IFI pour un patrimoine net taxable évalué à 12 000 000 euros ?,27
595,"Lorsqu’il y a un enfant majeur rattaché au foyer au 1er janvier de l’année du décès, comment doit-il être pris en compte pour l’ensemble de l’année ?",56
32,"Lors de la première connexion pour déclarer en ligne, quelles informations peut-on corriger si elles sont inexactes dans la déclaration pré-remplie ?",2
41,Un foyer fiscal correspond à l’ensemble des personnes figurant sur une même déclaration. Quelle catégorie de personnes peut y être incluse ?,3
1355,Que se passe-t-il si vous régularisez votre situation après l’engagement d’un contrôle fiscal ?,105
677,"Pour accéder à la déclaration n°2042 NR en ligne, quelle manipulation doit être effectuée ?",64
949,Qui doit déposer le formulaire 2734 et dans quel délai ?,82
1327,Où devez-vous déposer la déclaration TSBCS et le paiement correspondant ?,103
234,"Au titre du dispositif « Pinel », pour un investissement immobilier réalisé entre le 01/09/2014 et le 31/12/2014, quelle est la règle concernant la location du logement à un ascendant ou à un descendant du contribuable ?",22
686,"En l'absence de foyer en France, comment est déterminé le domicile fiscal d'un contribuable ?",65
824,Quel élément peut être ajouté au prix de vente d'un fonds de commerce pour le calcul du droit d'enregistrement ?,74
995,Quel taux de taxation est applicable pour la tranche entre 12 109 € et 15 932 € en ligne directe ?,84
511,À quel moment est-il recommandé de formuler une demande de délai de paiement pour son impôt local ou sur le revenu ?,47
1066,"Quel abattement de droit commun s'applique aux plus-values de cession de titres détenus depuis au moins 2 ans et moins de 8 ans, lorsque l'option pour le barème progressif est exercée ?",87
1324,À quelle date s'établit le fait générateur de la TSBCS ?,103
1331,Que devez-vous vérifier sur le formulaire 6705-B pré-rempli ?,103
795,Quel est l'avantage principal de l'enregistrement d'un acte sous seing privé par rapport à un acte non enregistré ?,72
945,Que permet de déterminer la date d’enregistrement de la déclaration de don manuel ?,82
5,Qu'est-ce que la déclaration automatique proposée depuis 2019 ?,0
334,"Dans le cas d’une option pour le prélèvement trimestriel des acomptes, à quelle date l’encaissement n’interviendra-t-il pas ?",33
413,"En complément du montant dû, quelle information peut-on obtenir en cliquant sur « Le compte détaillé » après la réception de l’avis d’impôt ?",40
547,À quelles conditions un parent célibataire peut-il cocher la case T dans sa déclaration de revenus pour bénéficier d’une majoration de parts ?,51
482,"Si un contribuable souhaite faire prélever son impôt sur le compte d’une autre personne, que doit-il faire ?",43
386,Lequel de ces impôts n’est pas explicitement cité parmi ceux pouvant être réglés en ligne selon les modalités officielles ?,38
38,Dans quelle condition un parent séparé peut-il cocher la case T dite du 'parent isolé' ?,3
1402,Quels moyens pouvez-vous utiliser pour contacter le conciliateur fiscal départemental ?,110
115,"Quel montant fixe l’administration pour la valeur d’un repas pris au foyer, utilisé comme référence pour évaluer le surcoût des repas pris hors domicile en 2023 ?",11
775,Quel taux est appliqué à la TLV à partir de la deuxième année de vacance ?,71
9,Que se passe-t-il si vous n'êtes pas en mesure de déclarer vos revenus en ligne malgré l'accès à Internet ?,0
104,Comment sont traitées les pensions de source étrangère lorsque le contribuable est domicilié en France et que ces pensions ouvrent droit à un crédit d’impôt équivalant à l’impôt français ?,9
549,Un contribuable souhaite déduire de son revenu imposable une pension alimentaire versée à son père dans le besoin. Quelle preuve doit-il fournir pour être en règle?,52
1114,"Pour un logement en location dans le secteur social ou très social sous le dispositif Cosse situé en zone A, A Bis ou B1, quel taux de déduction s'applique ?",90
797,"Concernant le dépôt d'un acte sous seing privé soumis à enregistrement dans un délai déterminé, quelle procédure doit être suivie en ce qui concerne le nombre d'exemplaires ?",73
831,"Dans quelles conditions peut-on bénéficier du taux réduit de TVA de 5,5% lors de la construction d'un logement ?",75
43,Un couple pacsé avec trois enfants à charge bénéficie de combien de parts ?,3
424,"Si un contribuable veut connaître ses futures échéances après avoir reçu son avis d’impôt, quelle est la première étape en ligne ?",40
307,Quels professionnels de santé sont concernés par le régime PAM-C dans le cadre d’une activité libérale ?,30
1254,Sur quelle période s'apprécient les travaux pour déterminer si un immeuble est rendu fiscalement neuf ou si les taux réduits de TVA s'appliquent ?,97
1272,Dans quel délai doit être déposée la déclaration pour bénéficier de l'exonération temporaire de taxe foncière bâtie ?,98
687,Quelle condition relative à l'activité professionnelle permet de qualifier une personne comme domiciliée fiscalement en France ?,65
724,Quels revenus subissent une retenue à la source dite libératoire et comment est-elle appliquée ?,67
942,Comment est déterminée la valeur des biens meubles donnés en nue-propriété ou en usufruit ?,82
1041,Quelles conditions de revenu fiscal de référence permettent de demander la dispense du prélèvement forfaitaire obligatoire sur les produits de placement à revenu fixe ?,86
14,Un enfant célibataire et mineur peut-il être imposé en son nom propre ?,1
70,"Dans quel cas le nombre de parts accordées pour chaque personne invalide à charge passe-t-il à 1,5 au lieu de 1 ?",6
1096,"Quels taux forfaitaires s’appliquent au gain de levée d’option pour des stock-options attribuées avant le 28/09/2012, sans délai de portage supplémentaire ?",89
1107,"Pour des BSPCE attribués à compter du 1er janvier 2018, quel taux d’imposition s’applique par défaut sur le gain de cession en l’absence d’option pour le barème progressif ?",89
1108,Quels avantages fiscaux peuvent s’appliquer sur la plus-value de cession des actions gratuites pour les dirigeants de PME partant à la retraite ?,89
368,Que se passe-t-il si l’adhésion au prélèvement mensuel est réalisée entre le 16 et le 31 décembre ?,36
396,Dans quel cas ne faut-il surtout pas utiliser un TIPSEPA pour régler un montant inférieur à 300 € ?,39
95,Comment un contribuable doit-il corriger le montant d’une pension si celui-ci est inexact dans la déclaration papier ?,9
740,Quel abattement est appliqué sur la valeur locative cadastrale pour la Taxe Foncière sur les Propriétés Bâties ?,69
77,Comment doit être déterminé le montant imposable à déclarer par une assistante maternelle qui opte pour la déclaration de toutes les sommes perçues ?,7
820,"Quel droit fixe est applicable aux actes volontaires d'enregistrement tels que les cessions de biens meubles, reconnaissances de dettes et contrats de prêts ?",74
264,"En cas de transfert de domicile fiscal en France durant l’année N, jusqu’à quelle date l’imposition limitée aux seuls actifs situés en France peut-elle s’appliquer au contribuable concerné ?",25
1232,Jusqu'à quelle date sont valables les plafonds de franchise en base de TVA mentionnés pour les locations meublées ?,95
218,"En cas d'union libre, si l'enfant est à la charge exclusive de l'un des parents, sous quelle condition ce parent peut-il seul bénéficier du crédit d'impôt pour frais de garde ?",21
488,"Parmi les modalités suivantes, laquelle est expressément indiquée comme un moyen de paiement en personne pour s’acquitter d’un forfait de post-stationnement ?",44
245,Jusqu’à quelle date incluse un crédit d’impôt s’applique-t-il pour les dépenses payées au titre de l’installation d’équipements d’accessibilité dans une résidence principale située en France ?,24
962,"En utilisant le formulaire n° 2735 pour déclarer un don familial de sommes d'argent, comment doivent être ventilées les sommes versées ?",83
1032,Quel est le rôle principal du notaire dans le cadre des donations par acte notarié ?,85
844,Quel est le taux global des droits de mutation à titre onéreux lors de l'achat d'un bien neuf auprès d'un particulier ?,76
230,"Pour bénéficier du dispositif « Duflot » sur un logement neuf ou assimilé, quelle est la durée minimale d’engagement de location nue à titre de résidence principale exigée ?",22
1025,Comment se différencie la donation-partage des donations simples en termes de valorisation des biens ?,85
852,"Lors de l'achat d'un bien neuf auprès d'un professionnel, quelle charge est appliquée au même taux que pour l'achat auprès d'un particulier ?",76
1207,Jusqu'à quand doit être déposée la déclaration de résultat n°2031 pour opter pour le régime réel en cours d'activité ?,94
1373,"Si vous constatez une erreur sur votre avis d'impôt sur le revenu due à une erreur de votre fait, que devez-vous faire ?",107
697,Dans quelles conditions les pensions et retraites sont-elles considérées d'origine française ?,66
674,Que doit déclarer un contribuable lors de l'année de son départ (année N) ?,64
448,Une personne ayant modifié ses coordonnées bancaires se demande si son prélèvement mensuel sera bien pris en compte : comment vérifier ?,40
1175,Quels sont les plafonds annuels de loyer par mètre carré (hors charges) pour considérer un prix de location raisonnable en 2022 ?,93
1047,Quels frais financiers sont déductibles lors du calcul de l'impôt sur le revenu au barème progressif ?,86
901,"En cas d'acquisition à titre gratuit, comment est déterminé le prix d'acquisition pour le calcul de la plus-value ?",79
1339,Quel formulaire est utilisé pour déclarer la TSBCS lorsque vous recevez un formulaire pré-rempli ?,104
1319,Que se passe-t-il en cas de dépôt tardif de la déclaration n°6660-REV ?,102
1086,Quelles conditions permettent l'exonération d'impôt sur le revenu des dividendes et plus-values dans un PEA ?,88
30,Quel service spécifique doit-on sélectionner une fois connecté à son espace pour commencer sa déclaration en ligne ?,2
232,"Pour le dispositif « Censi-Bouvard », quelle est la limite annuelle globale d’investissement ouvrant droit à la réduction d’impôt, que l’on acquière un ou plusieurs logements ?",22
451,"Comment appelle-t-on le document envoyé périodiquement à un contribuable mensualisé, décrivant les sommes prélevées chaque mois ?",40
69,Combien de parts supplémentaires est-il accordé par personne invalide à charge lorsque le total d'enfants et de personnes à charge est strictement inférieur à trois ?,6
929,Quel taux de prélèvement est appliqué sur les plus-values réalisées par des sociétés de capitaux non-résidentes ?,81
756,Qui peut décider de supprimer l’exonération temporaire pour la part communale et intercommunale de la taxe foncière sur les propriétés bâties ?,70
260,Quelle est la condition pour qu'un couple pacsé forme un seul foyer fiscal pour l'IFI ?,25
60,Que doit faire un enfant le jour de ses 18 ans concernant sa déclaration de revenus et son rattachement potentiel ?,5
177,Quelle est la conséquence si les charges déductibles dépassent le montant du revenu global imposable ?,17
961,Quel est le délai impératif pour déclarer un don familial de sommes d'argent afin de conserver l'exonération ?,83
1279,Que peut entraîner le défaut de production de la déclaration obligatoire des travaux ?,98
1049,"Si les frais déductibles excèdent les revenus imposables de placements financiers, quel est le délai de report du déficit constaté ?",86
715,Quel est le taux minimum d’imposition pour un non-résident ayant un revenu net imposable jusqu’à 28 797 € de source française (hors DOM) ?,67
1357,Quel est l’effet d’une régularisation spontanée sur le taux de l’intérêt de retard appliqué ?,105
1338,Que signifie que la TSBCS est un impôt auto-liquidé ?,104
950,Comment se fait l’évaluation d’un don manuel en termes de timing ?,82
4,Dans quelles conditions pouvez-vous déclarer vos revenus en ligne avec un formulaire pré-rempli ?,0
1368,"Quel est l'avantage de soumettre une déclaration rectificative spontanée, c'est-à-dire avant l'engagement d'un contrôle fiscal ?",106
142,Comment s’imputent les déficits engendrés par une activité de location meublée NON professionnelle au régime réel ?,13
